,date,lat,lon,temperature
0,1950-01-01 00:00:00+00:00,13.27465530300016,-16.787362000999934,21.723976
0,1950-01-01 00:00:00+00:00,13.30465530300016,-16.787362000999934,22.884361
0,1950-01-01 00:00:00+00:00,13.33465530300016,-16.787362000999934,22.884361
0,1950-01-01 00:00:00+00:00,13.36465530300016,-16.787362000999934,22.96236
0,1950-01-01 00:00:00+00:00,13.094655303000163,-16.757362000999933,22.557959
0,1950-01-01 00:00:00+00:00,13.124655303000164,-16.757362000999933,22.235153
0,1950-01-01 00:00:00+00:00,13.154655303000164,-16.757362000999933,22.471788
0,1950-01-01 00:00:00+00:00,13.184655303000165,-16.757362000999933,22.028824
0,1950-01-01 00:00:00+00:00,13.214655303000162,-16.757362000999933,22.015823
0,1950-01-01 00:00:00+00:00,13.244655303000162,-16.757362000999933,23.382538
0,1950-01-01 00:00:00+00:00,13.27465530300016,-16.757362000999933,22.85186
0,1950-01-01 00:00:00+00:00,13.30465530300016,-16.757362000999933,22.87136
0,1950-01-01 00:00:00+00:00,13.33465530300016,-16.757362000999933,22.86486
0,1950-01-01 00:00:00+00:00,13.36465530300016,-16.757362000999933,22.93636
0,1950-01-01 00:00:00+00:00,13.394655303000158,-16.757362000999933,22.89736
0,1950-01-01 00:00:00+00:00,13.124655303000164,-16.727362000999932,22.55629
0,1950-01-01 00:00:00+00:00,13.154655303000164,-16.727362000999932,22.293653
0,1950-01-01 00:00:00+00:00,13.184655303000165,-16.727362000999932,22.274153
0,1950-01-01 00:00:00+00:00,13.214655303000162,-16.727362000999932,22.215652
0,1950-01-01 00:00:00+00:00,13.244655303000162,-16.727362000999932,23.356539
0,1950-01-01 00:00:00+00:00,13.27465530300016,-16.727362000999932,23.189209
0,1950-01-01 00:00:00+00:00,13.30465530300016,-16.727362000999932,23.156708
0,1950-01-01 00:00:00+00:00,13.33465530300016,-16.727362000999932,23.189209
0,1950-01-01 00:00:00+00:00,13.36465530300016,-16.727362000999932,23.027819
0,1950-01-01 00:00:00+00:00,13.394655303000158,-16.727362000999932,22.995317
0,1950-01-01 00:00:00+00:00,13.424655303000158,-16.727362000999932,22.86824
0,1950-01-01 00:00:00+00:00,13.184655303000165,-16.69736200099993,22.261152
0,1950-01-01 00:00:00+00:00,13.214655303000162,-16.69736200099993,22.222153
0,1950-01-01 00:00:00+00:00,13.244655303000162,-16.69736200099993,23.395538
0,1950-01-01 00:00:00+00:00,13.27465530300016,-16.69736200099993,23.137209
0,1950-01-01 00:00:00+00:00,13.30465530300016,-16.69736200099993,23.169708
0,1950-01-01 00:00:00+00:00,13.33465530300016,-16.69736200099993,23.156708
0,1950-01-01 00:00:00+00:00,13.36465530300016,-16.69736200099993,23.001818
0,1950-01-01 00:00:00+00:00,13.394655303000158,-16.69736200099993,22.988817
0,1950-01-01 00:00:00+00:00,13.424655303000158,-16.69736200099993,23.01543
0,1950-01-01 00:00:00+00:00,13.454655303000155,-16.69736200099993,22.825329
0,1950-01-01 00:00:00+00:00,13.184655303000165,-16.66736200099993,22.332653
0,1950-01-01 00:00:00+00:00,13.214655303000162,-16.66736200099993,22.267653
0,1950-01-01 00:00:00+00:00,13.244655303000162,-16.66736200099993,23.356539
0,1950-01-01 00:00:00+00:00,13.27465530300016,-16.66736200099993,23.150208
0,1950-01-01 00:00:00+00:00,13.30465530300016,-16.66736200099993,23.124208
0,1950-01-01 00:00:00+00:00,13.33465530300016,-16.66736200099993,23.137209
0,1950-01-01 00:00:00+00:00,13.36465530300016,-16.66736200099993,22.988817
0,1950-01-01 00:00:00+00:00,13.394655303000158,-16.66736200099993,22.982317
0,1950-01-01 00:00:00+00:00,13.424655303000158,-16.66736200099993,23.086317
0,1950-01-01 00:00:00+00:00,13.454655303000155,-16.66736200099993,23.381237
0,1950-01-01 00:00:00+00:00,13.484655303000157,-16.66736200099993,23.387737
0,1950-01-01 00:00:00+00:00,13.184655303000165,-16.63736200099993,22.704926
0,1950-01-01 00:00:00+00:00,13.214655303000162,-16.63736200099993,22.665926
0,1950-01-01 00:00:00+00:00,13.244655303000162,-16.63736200099993,23.75481
0,1950-01-01 00:00:00+00:00,13.27465530300016,-16.63736200099993,23.468706
0,1950-01-01 00:00:00+00:00,13.30465530300016,-16.63736200099993,23.501205
0,1950-01-01 00:00:00+00:00,13.33465530300016,-16.63736200099993,23.449205
0,1950-01-01 00:00:00+00:00,13.36465530300016,-16.63736200099993,23.225237
0,1950-01-01 00:00:00+00:00,13.394655303000158,-16.63736200099993,23.368237
0,1950-01-01 00:00:00+00:00,13.424655303000158,-16.63736200099993,23.420237
0,1950-01-01 00:00:00+00:00,13.454655303000155,-16.63736200099993,23.420237
0,1950-01-01 00:00:00+00:00,13.184655303000165,-16.607362000999927,22.678926
0,1950-01-01 00:00:00+00:00,13.214655303000162,-16.607362000999927,22.698425
0,1950-01-01 00:00:00+00:00,13.244655303000162,-16.607362000999927,23.76131
0,1950-01-01 00:00:00+00:00,13.27465530300016,-16.607362000999927,23.449205
0,1950-01-01 00:00:00+00:00,13.30465530300016,-16.607362000999927,23.611706
0,1950-01-01 00:00:00+00:00,13.33465530300016,-16.607362000999927,23.520706
0,1950-01-01 00:00:00+00:00,13.36465530300016,-16.607362000999927,23.322737
0,1950-01-01 00:00:00+00:00,13.394655303000158,-16.607362000999927,23.420237
0,1950-01-01 00:00:00+00:00,13.424655303000158,-16.607362000999927,23.433237
0,1950-01-01 00:00:00+00:00,13.454655303000155,-16.607362000999927,23.407236
0,1950-01-01 00:00:00+00:00,13.184655303000165,-16.577362000999926,22.61107
0,1950-01-01 00:00:00+00:00,13.214655303000162,-16.577362000999926,22.61107
0,1950-01-01 00:00:00+00:00,13.244655303000162,-16.577362000999926,23.755424
0,1950-01-01 00:00:00+00:00,13.27465530300016,-16.577362000999926,23.41082
0,1950-01-01 00:00:00+00:00,13.30465530300016,-16.577362000999926,23.573318
0,1950-01-01 00:00:00+00:00,13.33465530300016,-16.577362000999926,23.59282
0,1950-01-01 00:00:00+00:00,13.36465530300016,-16.577362000999926,23.38185
0,1950-01-01 00:00:00+00:00,13.394655303000158,-16.577362000999926,23.40785
0,1950-01-01 00:00:00+00:00,13.424655303000158,-16.577362000999926,23.30616
0,1950-01-01 00:00:00+00:00,13.454655303000155,-16.577362000999926,23.280159
0,1950-01-01 00:00:00+00:00,13.184655303000165,-16.547362000999925,22.680647
0,1950-01-01 00:00:00+00:00,13.214655303000162,-16.547362000999925,22.674147
0,1950-01-01 00:00:00+00:00,13.244655303000162,-16.547362000999925,23.844501
0,1950-01-01 00:00:00+00:00,13.27465530300016,-16.547362000999925,23.838001
0,1950-01-01 00:00:00+00:00,13.30465530300016,-16.547362000999925,23.40785
0,1950-01-01 00:00:00+00:00,13.33465530300016,-16.547362000999925,23.40785
0,1950-01-01 00:00:00+00:00,13.36465530300016,-16.547362000999925,23.40785
0,1950-01-01 00:00:00+00:00,13.394655303000158,-16.547362000999925,23.40785
0,1950-01-01 00:00:00+00:00,13.424655303000158,-16.547362000999925,23.30616
0,1950-01-01 00:00:00+00:00,13.454655303000155,-16.547362000999925,23.565783
0,1950-01-01 00:00:00+00:00,13.484655303000157,-16.547362000999925,23.552784
0,1950-01-01 00:00:00+00:00,13.184655303000165,-16.517362000999924,22.700146
0,1950-01-01 00:00:00+00:00,13.214655303000162,-16.517362000999924,22.628647
0,1950-01-01 00:00:00+00:00,13.244655303000162,-16.517362000999924,23.792501
0,1950-01-01 00:00:00+00:00,13.27465530300016,-16.517362000999924,23.40785
0,1950-01-01 00:00:00+00:00,13.30465530300016,-16.517362000999924,23.40785
0,1950-01-01 00:00:00+00:00,13.33465530300016,-16.517362000999924,23.40785
0,1950-01-01 00:00:00+00:00,13.36465530300016,-16.517362000999924,23.40785
0,1950-01-01 00:00:00+00:00,13.394655303000158,-16.517362000999924,23.40785
0,1950-01-01 00:00:00+00:00,13.424655303000158,-16.517362000999924,23.30616
0,1950-01-01 00:00:00+00:00,13.454655303000155,-16.517362000999924,23.565783
0,1950-01-01 00:00:00+00:00,13.484655303000157,-16.517362000999924,23.481283
0,1950-01-01 00:00:00+00:00,13.514655303000156,-16.517362000999924,23.539783
0,1950-01-01 00:00:00+00:00,13.544655303000155,-16.517362000999924,23.552784
0,1950-01-01 00:00:00+00:00,13.574655303000156,-16.517362000999924,23.55568
0,1950-01-01 00:00:00+00:00,13.184655303000165,-16.487362000999923,22.654646
0,1950-01-01 00:00:00+00:00,13.214655303000162,-16.487362000999923,22.687147
0,1950-01-01 00:00:00+00:00,13.244655303000162,-16.487362000999923,23.929
0,1950-01-01 00:00:00+00:00,13.27465530300016,-16.487362000999923,23.38185
0,1950-01-01 00:00:00+00:00,13.30465530300016,-16.487362000999923,23.40785
0,1950-01-01 00:00:00+00:00,13.33465530300016,-16.487362000999923,23.40785
0,1950-01-01 00:00:00+00:00,13.36465530300016,-16.487362000999923,23.36235
0,1950-01-01 00:00:00+00:00,13.394655303000158,-16.487362000999923,23.40785
0,1950-01-01 00:00:00+00:00,13.424655303000158,-16.487362000999923,23.30616
0,1950-01-01 00:00:00+00:00,13.454655303000155,-16.487362000999923,23.552784
0,1950-01-01 00:00:00+00:00,13.484655303000157,-16.487362000999923,23.461784
0,1950-01-01 00:00:00+00:00,13.514655303000156,-16.487362000999923,23.429283
0,1950-01-01 00:00:00+00:00,13.544655303000155,-16.487362000999923,23.481283
0,1950-01-01 00:00:00+00:00,13.574655303000156,-16.487362000999923,23.50368
0,1950-01-01 00:00:00+00:00,13.184655303000165,-16.45736200099992,22.667646
0,1950-01-01 00:00:00+00:00,13.214655303000162,-16.45736200099992,22.758646
0,1950-01-01 00:00:00+00:00,13.244655303000162,-16.45736200099992,23.890001
0,1950-01-01 00:00:00+00:00,13.27465530300016,-16.45736200099992,23.40135
0,1950-01-01 00:00:00+00:00,13.30465530300016,-16.45736200099992,23.40785
0,1950-01-01 00:00:00+00:00,13.33465530300016,-16.45736200099992,23.40785
0,1950-01-01 00:00:00+00:00,13.36465530300016,-16.45736200099992,23.49532
0,1950-01-01 00:00:00+00:00,13.394655303000158,-16.45736200099992,23.49532
0,1950-01-01 00:00:00+00:00,13.424655303000158,-16.45736200099992,23.28666
0,1950-01-01 00:00:00+00:00,13.454655303000155,-16.45736200099992,23.507284
0,1950-01-01 00:00:00+00:00,13.484655303000157,-16.45736200099992,23.507284
0,1950-01-01 00:00:00+00:00,13.514655303000156,-16.45736200099992,23.403284
0,1950-01-01 00:00:00+00:00,13.544655303000155,-16.45736200099992,23.435783
0,1950-01-01 00:00:00+00:00,13.574655303000156,-16.45736200099992,23.43218
0,1950-01-01 00:00:00+00:00,13.184655303000165,-16.42736200099992,22.810804
0,1950-01-01 00:00:00+00:00,13.214655303000162,-16.42736200099992,22.869303
0,1950-01-01 00:00:00+00:00,13.244655303000162,-16.42736200099992,24.117659
0,1950-01-01 00:00:00+00:00,13.27465530300016,-16.42736200099992,23.839388
0,1950-01-01 00:00:00+00:00,13.30465530300016,-16.42736200099992,23.839388
0,1950-01-01 00:00:00+00:00,13.33465530300016,-16.42736200099992,23.839388
0,1950-01-01 00:00:00+00:00,13.36465530300016,-16.42736200099992,23.702888
0,1950-01-01 00:00:00+00:00,13.394655303000158,-16.42736200099992,23.741888
0,1950-01-01 00:00:00+00:00,13.424655303000158,-16.42736200099992,23.6792
0,1950-01-01 00:00:00+00:00,13.454655303000155,-16.42736200099992,23.645096
0,1950-01-01 00:00:00+00:00,13.484655303000157,-16.42736200099992,23.619095
0,1950-01-01 00:00:00+00:00,13.514655303000156,-16.42736200099992,23.560595
0,1950-01-01 00:00:00+00:00,13.544655303000155,-16.42736200099992,23.554096
